Doutor Ulysses,Cerro Azul,46.9,79
Cerro Azul,Adrianópolis,82.9,117
Cerro Azul,Tunas do Paraná,33.6,62
Cerro Azul,Bocaiúva do Sul,72.1,108
Cerro Azul,Rio Branco do Sul,60.0,94
Tunas do Paraná,Adrianópolis,54.3,63
Tunas do Paraná,Bocaiúva do Sul,38.6,48
Rio Branco do Sul,Itaperuçu,7.0,16
Rio Branco do Sul,Almirante Tamandaré,15.7,23
Rio Branco do Sul,Colombo,32.9,48
Rio Branco do Sul,Bocaiúva do Sul,25.5,49
Bocaiúva do Sul,Colombo,24.8,34
Bocaiúva do Sul,Campina Grande do Sul,29.1,40
Campina Grande do Sul,Colombo,14.5,16
Campina Grande do Sul,Quatro Barras,3.5,7
Campina Grande do Sul,Morretes,52.1,68
Campina Grande do Sul,Antonina,56.7,72
Campina Grande do Sul,Guaraqueçaba,147.0,222
Antonina,Morretes,14.8,20
Antonina,Guaraqueçaba,97.9,164
Itaperuçu,Campo Largo,55.8,66
Itaperuçu,Campo Magro,32.7,41
Itaperuçu,Almirante Tamandaré,18.0,25
Campo Largo,Campo Magro,25.7,25
Campo Largo,Curitiba,29.5,40
Campo Largo,Araucária,27.5,33
Campo Largo,Balsa Nova,20.4,26
Campo Magro,Almirante Tamandaré,16.7,21
Campo Magro,Curitiba,12.7,30
Almirante Tamandaré,Colombo,18.2,27
Almirante Tamandaré,Curitiba,16.2,32
Colombo,Curitiba,12.9,35
Colombo,Pinhais,8.8,18
Colombo,Quatro Barras,14.4,18
Pinhais,Piraquara,14.6,18
Quatro Barras,Piraquara,10.4,15
Quatro Barras,Morretes,50.0,64
Morretes,Piraquara,60.8,55
Morretes,São José dos Pinhais,62.2,60
Morretes,Guaratuba,70.0,87
Morretes,Paranaguá,40.3,38
Paranaguá,Pontal do Paraná,27.8,29
Paranaguá,Matinhos,44.2,40
Paranaguá,Guaratuba,54.0,78
Pontal do Paraná,Matinhos,15.8,25
Guaratuba,Matinhos,10.1,37
Guaratuba,Tijucas do Sul,96.3,94
Guaratuba,São José dos Pinhais,117.6,106
São José dos Pinhais,Tijucas do Sul,49.2,48
São José dos Pinhais,Mandirituba,41.4,43
São José dos Pinhais,Fazenda Rio Grande,28.2,33
São José dos Pinhais,Curitiba,14.6,25
São José dos Pinhais,Pinhais,17.6,28
São José dos Pinhais,Piraquara,21.3,27
Curitiba,Araucária,27.3,42
Curitiba,Fazenda Rio Grande,27.5,43
Porto Amazonas,Lapa,36.6,36
Porto Amazonas,Balsa Nova,60.1,56
Balsa Nova,Lapa,34.4,45
Balsa Nova,Araucária,33.0,45
Araucária,Fazenda Rio Grande,17.6,27
Araucária,Mandirituba,30.7,36
Araucária,Contenda,19.2,24
Fazenda Rio Grande,Mandirituba,15.4,17
Tijucas do Sul,Mandirituba,47.7,49
Tijucas do Sul,Agudos do Sul,19.7,23
Mandirituba,Contenda,58.2,57
Mandirituba,Quitandinha,26.0,25
Mandirituba,Agudos do Sul,27.7,27
Contenda,Quitandinha,30.6,43
Contenda,Lapa,26.3,29
Lapa,Quitandinha,54.9,56
Lapa,Campo do Tenente,29.2,34
Lapa,Rio Negro,48.1,53
Quitandinha,Campo do Tenente,27.7,27
Quitandinha,Piên,49.2,47
Quitandinha,Agudos do Sul,32.2,31
Campo do Tenente,Rio Negro,19.6,22
Campo do Tenente,Piên,75.0,68
Piên,Agudos do Sul,18.0,20
Piên,Rio Negro,46.2,70